,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
418,2015,NBA,1,19,WAS,Jerian Grant\grantje02,22.264,G,us,University of Notre Dame,2016,2018,155,17.5,5.9,2.0,2.5,0.7,0.1,.400,.456,.292,.820,3.9,.069
419,2016,NBA,1,19,DEN,Malik Beasley\beaslma01,19.214,G,us,Florida State University,2017,2018,39,8.0,3.5,1.1,0.5,0.2,0.0,.442,.521,.327,.684,0.3,.048
420,2017,NBA,1,19,ATL,John Collins\collijo01,19.277,F,us,Wake Forest University,2018,2018,18,23.1,11.8,7.5,0.8,0.6,0.9,.582,.586,.000,.756,1.4,.159
421,1992,NBA,1,20,NYK,Hubert Davis\davishu01,22.044,G,us,University of North Carolina,1993,2004,685,22.1,8.2,1.5,1.7,0.4,0.1,.458,.468,.441,.837,27.7,.088
422,1993,NBA,1,20,CHH,Scott Burrell\burresc01,22.175,G-F,us,University of Connecticut,1994,2001,383,19.8,6.9,3.5,1.4,0.9,0.5,.418,.448,.373,.723,16.4,.104
423,1994,NBA,1,20,PHI,B.J. Tyler\tylerbj01,23.066,G,us,University of Texas at Austin,1995,1995,55,14.7,3.5,1.1,3.2,0.7,0.0,.381,.406,.314,.700,-0.7,-0.039
424,1995,NBA,1,20,CHI,Jason Caffey\caffeja01,22.021,F,us,University of Alabama,1996,2003,462,19.6,7.3,4.4,0.9,0.5,0.2,.481,.483,.000,.637,13.5,.072
425,1997,NBA,1,20,MIN,Paul Grant\grantpa01,23.176,C,us,University of Wisconsin,1999,2004,16,6.9,1.8,1.1,0.2,0.1,0.1,.448,.448,,.375,-0.1,-0.043
426,1998,NBA,1,20,ATL,Roshown McLeod\mcleoro01,22.225,F,us,Duke University,1999,2001,113,18.8,7.2,2.7,1.1,0.4,0.1,.409,.426,.111,.819,0.2,.004
427,1999,NBA,1,20,ATL,Dion Glover\glovedi01,20.256,G,us,Georgia Institute of Technology,2000,2005,294,20.9,8.2,3.1,1.5,0.8,0.2,.411,.436,.317,.756,5.8,.045
428,2000,NBA,1,20,PHI,Speedy Claxton\claxtsp01,22.057,G,us,Hofstra University,2002,2009,334,25.6,9.3,2.5,4.3,1.5,0.1,.409,.428,.193,.762,14.2,.080
429,2001,NBA,1,20,CLE,Brendan Haywood\haywobr01,21.218,C,us,University of North Carolina,2002,2015,816,22.9,6.8,6.0,0.5,0.4,1.4,.528,.528,.000,.587,43.8,.113
430,2002,NBA,1,20,TOR,Kareem Rush\rushka01,21.244,G,us,University of Missouri,2003,2010,346,17.2,6.4,1.7,1.0,0.4,0.2,.400,.425,.358,.703,1.7,.013
431,2003,NBA,1,20,BOS,Dahntay Jones\jonesda02,22.186,G-F,us,Duke University,2004,2017,624,15.7,5.4,1.7,0.8,0.4,0.2,.439,.454,.329,.751,9.9,.048
432,2004,NBA,1,20,DEN,Jameer Nelson\nelsoja01,22.141,G,us,Saint Joseph's University,2005,2018,844,28.4,11.6,3.0,5.2,0.9,0.1,.438,.475,.370,.810,48.3,.097
433,2005,NBA,1,20,DEN,Julius Hodge\hodgeju01,21.228,G,us,North Carolina State University,2006,2007,23,4.3,1.2,0.7,0.8,0.3,0.0,.440,.440,,.500,0.0,.003
434,2006,NBA,1,20,NYK,Renaldo Balkman\balkmre01,21.354,F,us,University of South Carolina,2007,2012,221,13.9,4.0,3.5,0.6,0.7,0.5,.510,.543,.172,.542,7.2,.113
435,2007,NBA,1,20,MIA,Jason Smith\smithja02,21.123,F-C,us,Colorado State University,2008,2018,570,16.9,6.3,3.5,0.7,0.4,0.7,.471,.480,.351,.779,13.9,.069
436,2009,NBA,1,20,UTA,Eric Maynor\maynoer01,22.020,G,us,Virginia Commonwealth University,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,.392,.409,.350,.721,3.3,.041
437,2010,NBA,1,20,SAS,James Anderson\anderja01,21.096,G-F,us,Oklahoma State University,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,.411,.495,.321,.755,3.3,.037
438,2013,NBA,1,20,CHI,Tony Snell\snellto01,21.235,G-F,us,University of New Mexico,2014,2018,310,22.0,6.3,2.5,1.0,0.5,0.2,.422,.478,.379,.811,9.0,.063
439,2015,NBA,1,20,TOR,Delon Wright\wrighde01,23.065,G,us,University of Utah,2016,2018,68,14.2,5.3,1.8,1.8,0.7,0.3,.456,.505,.324,.803,2.5,.123
440,2016,NBA,1,20,IND,Caris LeVert\leverca01,21.308,G-F,us,University of Michigan,2017,2018,74,22.5,8.6,3.4,2.2,0.9,0.2,.434,.537,.307,.679,1.7,.050
441,2017,NBA,1,20,POR,Harry Giles\gilesha01,19.066,F-C,us,Duke University,,,,,,,,,,,,,,,
442,1992,NBA,1,21,BOS,Jon Barry\barryjo01,22.340,G,us,Georgia Institute of Technology,1993,2006,821,16.9,5.7,1.8,2.2,0.9,0.1,.434,.470,.392,.848,37.2,.129
443,1993,NBA,1,21,POR,James Robinson\robinja02,22.309,G,us,University of Alabama,1994,2001,381,18.2,7.6,1.7,1.9,0.5,0.2,.394,.430,.348,.666,5.8,.040
444,1994,NBA,1,21,CHI,Dickey Simpkins\simpkdi01,22.089,F,us,Providence College,1995,2002,327,15.9,4.2,3.6,0.9,0.3,0.2,.440,.442,.222,.618,4.7,.044
445,1995,NBA,1,21,PHO,Michael Finley\finlemi01,22.119,G-F,us,University of Wisconsin,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,.444,.467,.375,.811,85.2,.108
446,1996,NBA,1,21,NYK,Dontae' Jones\jonesdo01,21.030,F,us,Mississippi State University,1998,1998,15,6.1,2.9,0.6,0.3,0.1,0.2,.333,.382,.261,,-0.3,-0.175
447,1997,NBA,1,21,NJN,Anthony Parker\parkean01,22.012,G,us,Bradley University,1998,2012,494,27.8,9.1,3.2,2.3,0.9,0.2,.444,.469,.404,.794,24.5,.085
448,1998,NBA,1,21,CHH,Ricky Davis\davisri01,18.279,G,us,University of Iowa,1999,2010,736,29.8,13.5,3.5,3.3,1.0,0.3,.446,.466,.361,.781,28.0,.061
449,1999,NBA,1,21,GSW,Jeff Foster\fosteje01,22.170,F-C,us,Texas State University,2000,2012,764,20.6,4.9,6.9,0.9,0.7,0.4,.497,.504,.130,.615,47.5,.145
450,2000,NBA,1,21,TOR,Morris Peterson\petermo01,22.312,F,us,Michigan State University,2001,2011,711,27.2,10.7,3.5,1.5,0.9,0.2,.418,.450,.373,.773,35.7,.089
451,2001,NBA,1,21,BOS,Joseph Forte\fortejo01,20.101,G,us,University of North Carolina,2002,2003,25,5.0,1.2,0.7,0.7,0.2,0.0,.234,.268,.000,.800,-0.4,-0.166
452,2002,NBA,1,21,POR,Qyntel Woods\woodsqy01,21.135,F,us,Northeast Mississippi Community College,2003,2006,167,12.3,4.1,2.3,0.6,0.4,0.2,.452,.470,.357,.603,1.4,.032
453,2005,NBA,1,21,PHO,Nate Robinson\robinna01,21.033,G,us,University of Washington,2006,2016,618,22.5,11.0,2.3,3.0,0.9,0.1,.423,.463,.360,.796,27.8,.096
454,2006,NBA,1,21,PHO,Rajon Rondo\rondora01,20.131,G,us,University of Kentucky,2007,2018,719,32.2,10.6,4.9,8.5,1.8,0.1,.463,.484,.303,.606,53.8,.112
455,2007,NBA,1,21,PHI,Daequan Cook\cookda02,20.066,G,us,Ohio State University,2008,2013,328,18.3,6.4,2.1,0.7,0.4,0.1,.369,.383,.359,.813,4.9,.039
456,2008,NBA,1,21,NJN,Ryan Anderson\anderry01,20.056,F,us,University of California,2009,2018,573,26.6,13.1,5.4,0.9,0.5,0.4,.423,.469,.381,.861,43.7,.138
457,2009,NBA,1,21,NOH,Darren Collison\collida01,21.312,G,us,University of California Los Angeles,2010,2018,581,29.6,12.7,2.6,4.9,1.1,0.1,.469,.494,.379,.853,37.4,.104
458,2010,NBA,1,21,OKC,Craig Brackins\brackcr01,22.264,F,us,Iowa State University,2011,2012,17,7.1,1.8,1.1,0.5,0.1,0.1,.265,.286,.214,.500,-0.2,-0.089
459,2011,NBA,1,21,POR,Nolan Smith\smithno01,22.338,G,us,Duke University,2012,2013,84,9.9,3.3,1.0,1.2,0.3,0.0,.371,.407,.260,.714,-0.8,-0.047
460,2012,NBA,1,21,BOS,Jared Sullinger\sullija01,20.121,F,us,Ohio State University,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,.436,.476,.272,.723,15.3,.113
461,2013,NBA,1,21,UTA,Gorgui Dieng\dienggo01,23.166,C,sn,University of Louisville,2014,2018,312,26.0,8.7,7.1,1.6,0.9,1.2,.509,.517,.329,.785,19.2,.114
462,2014,NBA,1,21,OKC,Mitch McGary\mcgarmi01,22.025,F-C,us,University of Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,.527,.544,.000,.580,1.3,.108
463,2015,NBA,1,21,DAL,Justin Anderson\anderju01,21.223,G,us,University of Virginia,2016,2018,140,14.3,5.6,2.9,0.7,0.5,0.4,.415,.518,.294,.791,3.2,.077
464,2016,NBA,1,21,ATL,DeAndre Bembry\bembrde01,21.360,F,us,Saint Joseph's University,2017,2018,42,9.7,2.6,1.6,0.8,0.2,0.2,.468,.557,.095,.333,0.2,.022
465,1992,NBA,1,22,PHO,Oliver Miller\milleol01,22.085,C,us,University of Arkansas,1993,2004,493,23.0,7.4,5.9,2.2,0.9,1.5,.534,.541,.116,.639,21.1,.089
466,1993,NBA,1,22,CLE,Chris Mills\millsch01,23.162,F,us,University of Arizona,1994,2003,568,30.4,11.2,4.9,1.9,0.7,0.4,.432,.455,.351,.817,37.7,.105
467,1994,NBA,1,22,SAS,Bill Curley\curlebi01,22.036,F,us,Boston College,1995,2001,147,11.0,2.7,2.0,0.4,0.4,0.3,.444,.449,.222,.743,1.6,.047
468,1995,NBA,1,22,CHH,George Zidek\zidekge01,21.335,C,cz,University of California Los Angeles,1996,1998,135,9.8,3.4,2.1,0.2,0.1,0.1,.408,.409,.250,.783,0.8,.029
469,1996,NBA,1,22,VAN,Roy Rogers\rogerro02,22.317,F,us,University of Alabama,1997,2000,137,16.9,4.8,3.5,0.4,0.2,1.5,.483,.483,.500,.532,1.7,.035
470,1997,NBA,1,22,ATL,Ed Gray\grayed01,21.277,G,us,University of California,1998,1999,60,13.5,6.2,1.2,0.8,0.5,0.2,.339,.338,.341,.814,0.1,.009
471,1998,NBA,1,22,LAC,Brian Skinner\skinnbr01,22.041,F,us,Baylor University,1999,2012,608,17.9,4.7,4.7,0.5,0.4,0.9,.494,.494,.333,.566,15.8,.070
472,1999,NBA,1,22,HOU,Kenny Thomas\thomake01,21.345,F,us,University of New Mexico,2000,2010,632,27.4,9.3,6.9,1.5,0.8,0.4,.465,.476,.244,.699,31.2,.086
473,2000,NBA,1,22,NYK,Donnell Harvey\harvedo01,19.311,F,us,University of Florida,2001,2005,205,16.2,5.6,4.0,0.8,0.5,0.4,.460,.464,.100,.659,4.7,.069
474,2001,NBA,1,22,ORL,Jeryl Sasser\sasseje01,22.140,G,us,Southern Methodist University,2002,2003,82,12.9,2.5,2.3,0.8,0.6,0.1,.303,.305,.295,.687,0.7,.032
475,2002,NBA,1,22,PHO,Casey Jacobsen\jacobca01,21.104,G-F,us,Stanford University,2003,2008,287,18.5,5.2,1.8,1.1,0.4,0.1,.393,.433,.352,.769,6.2,.056
476,2005,NBA,1,22,DEN,Jarrett Jack\jackja01,21.249,G,us,Georgia Institute of Technology,2006,2018,820,28.0,10.9,2.9,4.5,0.8,0.1,.440,.470,.345,.856,35.9,.075
477,2006,NBA,1,22,NJN,Marcus Williams\willima03,20.212,G,us,University of Connecticut,2007,2010,203,15.2,5.6,1.8,2.8,0.4,0.0,.386,.421,.321,.767,0.0,-0.001
478,2007,NBA,1,22,CHA,Jared Dudley\dudleja01,21.358,F-G,us,Boston College,2008,2018,745,23.9,8.2,3.4,1.6,0.9,0.2,.469,.519,.397,.731,39.7,.107
479,2008,NBA,1,22,ORL,Courtney Lee\leeco01,22.272,G,us,Western Kentucky University,2009,2018,694,28.0,9.8,2.7,1.7,1.0,0.3,.451,.482,.388,.850,35.5,.088
480,2010,NBA,1,22,POR,Elliot Williams\williel01,21.009,G,us,University of Memphis,2012,2016,109,13.5,4.9,1.5,0.9,0.4,0.1,.421,.489,.310,.669,0.7,.024
481,2011,NBA,1,22,DEN,Kenneth Faried\farieke01,21.221,F,us,Morehead State University,2012,2018,424,25.2,11.6,8.3,1.0,0.8,0.8,.544,.547,.105,.654,35.1,.157
482,2012,NBA,1,22,BOS,Fab Melo\melofa01,22.014,C,br,Syracuse University,2013,2013,6,6.0,1.2,0.5,0.0,0.3,0.3,.500,.500,,.250,0.0,.021
483,2013,NBA,1,22,BRK,Mason Plumlee\plumlma01,23.120,C-F,us,Duke University,2014,2018,333,22.7,8.8,6.4,2.0,0.8,0.9,.559,.563,.000,.576,22.1,.141
484,2014,NBA,1,22,MEM,Jordan Adams\adamsjo01,19.358,G,us,University of California Los Angeles,2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,.402,.409,.385,.607,0.4,.070
485,2015,NBA,1,22,CHI,Bobby Portis\portibo01,20.140,F,us,University of Arkansas,2016,2018,134,17.0,7.3,5.2,0.8,0.3,0.3,.455,.487,.328,.712,4.3,.090
486,2016,NBA,1,22,CHO,Malachi Richardson\richama01,20.175,G,us,Syracuse University,2017,2018,33,10.0,3.8,1.0,0.5,0.3,0.0,.394,.438,.333,.767,0.2,.026
487,2017,NBA,1,22,BRK,Jarrett Allen\allenja01,19.067,F-C,us,University of Texas at Austin,2018,2018,9,14.4,4.2,2.7,0.6,0.7,0.9,.516,.533,.000,.600,0.2,.083
488,1992,NBA,1,23,MIL,Lee Mayberry\maybele01,22.018,G,us,University of Arkansas,1993,1999,496,20.8,5.1,1.3,3.6,0.7,0.1,.415,.446,.377,.659,7.9,.036
489,1993,NBA,1,23,SEA,Ervin Johnson\johnser02,25.198,C,us,University of New Orleans,1994,2006,845,20.1,4.1,6.1,0.5,0.6,1.3,.505,.507,.200,.605,37.8,.107
490,1994,NBA,1,23,PHO,Wesley Person\persowe01,23.099,G,us,Auburn University,1995,2005,733,28.3,11.2,3.3,1.7,0.8,0.3,.457,.484,.418,.778,44.0,.102
491,1995,NBA,1,23,IND,Travis Best\besttr01,22.356,G,us,Georgia Institute of Technology,1996,2005,708,21.4,7.6,1.8,3.5,0.9,0.1,.431,.449,.345,.835,30.9,.098
492,1997,NBA,1,23,SEA,Bobby Jackson\jacksbo01,24.110,G,us,University of Minnesota,1998,2009,755,22.2,9.7,3.1,2.6,0.9,0.1,.417,.444,.354,.793,31.4,.090
493,1998,NBA,1,23,DEN,Tyronn Lue\luety01,21.057,G,us,University of Nebraska,1999,2009,554,22.7,8.5,1.7,3.1,0.5,0.0,.437,.456,.391,.829,19.7,.075
494,1999,NBA,1,23,LAL,Devean George\georgde01,21.310,G-F,us,Augsburg College,2000,2010,630,18.5,5.6,3.1,0.9,0.7,0.4,.392,.421,.343,.721,18.2,.075
495,2001,NBA,1,23,HOU,Brandon Armstrong\armstbr01,21.016,G,us,Pepperdine University,2002,2004,108,6.5,2.2,0.6,0.2,0.2,0.0,.352,.358,.333,.600,-0.6,-0.039
496,2002,NBA,1,23,DET,Tayshaun Prince\princta01,22.124,F,us,University of Kentucky,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.470,.367,.756,63.1,.096
497,2005,NBA,1,23,SAC,Francisco Garcia\garcifr01,23.185,F-G,do,University of Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,.427,.484,.357,.799,18.2,.074
498,2006,NBA,1,23,NJN,Josh Boone\boonejo01,21.224,F-C,us,University of Connecticut,2007,2010,256,17.5,5.2,4.9,0.5,0.4,0.7,.544,.544,,.445,9.1,.097
499,2007,NBA,1,23,NYK,Wilson Chandler\chandwi01,20.054,F,us,DePaul University,2008,2018,533,31.1,13.8,5.4,1.8,0.7,0.7,.445,.496,.338,.770,24.1,.070
500,2008,NBA,1,23,UTA,Kosta Koufos\koufoko01,19.127,C,us,Ohio State University,2009,2018,591,16.5,5.7,4.9,0.4,0.4,0.8,.534,.535,.000,.599,24.7,.122
501,2010,NBA,1,23,MIN,Trevor Booker\booketr01,22.217,F,us,Clemson University,2011,2018,476,21.0,7.1,5.7,1.1,0.7,0.5,.515,.533,.308,.622,23.6,.114
502,2012,NBA,1,23,ATL,John Jenkins\jenkijo01,21.120,G,us,Vanderbilt University,2013,2017,145,12.8,5.1,1.5,0.8,0.2,0.1,.448,.513,.364,.849,2.7,.071
503,2013,NBA,1,23,IND,Solomon Hill\hillso01,22.107,F,us,University of Arizona,2014,2017,249,23.5,6.4,3.3,1.6,0.7,0.3,.400,.447,.336,.822,8.7,.072
504,2014,NBA,1,23,UTA,Rodney Hood\hoodro01,21.254,G-F,us,Duke University,2015,2018,205,27.7,12.8,3.1,2.1,0.7,0.2,.415,.455,.368,.828,11.5,.097
505,2015,NBA,1,23,POR,Rondae Hollis-Jefferson\holliro01,20.178,F,us,University of Arizona,2016,2018,123,23.0,8.7,5.7,1.8,1.1,0.6,.447,.473,.237,.763,5.0,.086
506,2017,NBA,1,23,TOR,OG Anunoby\anunoog01,19.345,F,gb,Indiana University,2018,2018,17,18.3,6.4,2.1,1.0,0.8,0.1,.471,.595,.375,.579,0.8,.129
507,1992,NBA,1,24,GSW,Latrell Sprewell\sprewla01,21.295,G,us,University of Alabama,1993,2005,913,38.6,18.3,4.1,4.0,1.4,0.4,.425,.451,.337,.804,56.3,.077
508,1993,NBA,1,24,HOU,Sam Cassell\cassesa01,23.230,G,us,Florida State University,1994,2008,993,30.0,15.7,3.2,6.0,1.1,0.2,.454,.477,.331,.861,87.5,.141
509,1994,NBA,1,24,NYK,Monty Williams\willimo01,22.270,F,us,University of Notre Dame,1995,2003,456,16.7,6.3,2.8,1.2,0.6,0.3,.481,.487,.111,.665,11.4,.072
510,1995,NBA,1,24,DAL,Loren Meyer\meyerlo01,22.185,C,us,Iowa State University,1996,1999,140,14.6,4.6,3.4,0.6,0.2,0.4,.432,.435,.348,.696,0.5,.012
511,1996,NBA,1,24,LAL,Derek Fisher\fishede01,21.327,G,us,University of Arkansas at Little Rock,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
512,1997,NBA,1,24,HOU,Rodrick Rhodes\rhodero01,23.280,G-F,us,University of Southern California,1998,2000,72,17.1,5.3,1.2,1.7,1.0,0.2,.347,.354,.200,.620,-1.6,-0.064
513,1998,NBA,1,24,SAS,Felipe Lopez\lopezfe01,23.193,G,do,St. John's University,1999,2002,249,16.6,5.8,2.4,1.0,0.6,0.2,.432,.445,.327,.659,3.1,.036
514,2003,NBA,1,24,LAL,Brian Cook\cookbr01,22.209,F,us,University of Illinois at Urbana-Champaign,2004,2012,421,13.4,5.5,2.6,0.6,0.3,0.3,.439,.467,.382,.783,10.2,.086
515,2004,NBA,1,24,BOS,Delonte West\westde01,20.339,G,us,Saint Joseph's University,2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,.448,.479,.372,.826,24.5,.099
516,2005,NBA,1,24,HOU,Luther Head\headlu01,22.220,G,us,University of Illinois at Urbana-Champaign,2006,2011,348,22.4,8.2,2.4,2.1,0.7,0.1,.423,.454,.388,.773,14.7,.090
517,2006,NBA,1,24,MEM,Kyle Lowry\lowryky01,20.100,G,us,Villanova University,2007,2018,730,31.0,14.3,4.1,5.8,1.4,0.3,.425,.466,.364,.800,71.8,.152
518,2009,NBA,1,24,DAL,Byron Mullens\mulleby01,20.136,C,us,Ohio State University,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,.408,.438,.319,.706,0.6,.008
519,2010,NBA,1,24,ATL,Damion James\jamesda01,22.266,G-F,us,University of Texas at Austin,2011,2014,39,16.0,3.8,3.4,0.7,0.6,0.5,.415,.433,.000,.667,0.0,-0.001
520,2011,NBA,1,24,OKC,Reggie Jackson\jacksre01,21.073,G,it,Boston College,2012,2018,420,24.7,12.3,3.0,4.4,0.7,0.1,.432,.472,.324,.862,22.8,.106
521,2012,NBA,1,24,CLE,Jared Cunningham\cunnija01,21.043,G,us,Oregon State University,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0.0,.347,.369,.306,.674,0.2,.017
522,2013,NBA,1,24,NYK,Tim Hardaway\hardati02,21.108,G,us,University of Michigan,2014,2018,298,24.0,11.4,2.2,1.6,0.5,0.2,.427,.502,.349,.804,12.1,.082
523,2014,NBA,1,24,CHH,Shabazz Napier\napiesh01,22.353,G,us,University of Connecticut,2015,2018,173,13.6,4.6,1.5,1.8,0.6,0.1,.392,.411,.372,.767,2.4,.049
524,2015,NBA,1,24,CLE,Tyus Jones\jonesty01,19.050,G,us,Duke University,2016,2018,115,13.9,3.6,1.2,2.7,0.8,0.1,.385,.421,.324,.761,2.1,.063
525,2017,NBA,1,24,UTA,Tyler Lydon\lydonty01,21.079,F,us,Syracuse University,2018,2018,1,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-0.015
526,1992,NBA,1,25,LAC,Elmore Spencer\spencel01,22.206,C,us,University of Nevada Las Vegas,1993,1997,157,16.8,5.9,3.5,0.7,0.3,1.1,.516,.518,.000,.580,0.0,.001
527,1993,NBA,1,25,CHI,Corie Blount\blounco01,24.183,F,us,University of Cincinnati,1994,2004,644,15.4,3.6,4.2,0.7,0.5,0.4,.471,.475,.115,.587,18.2,.088
528,1994,NBA,1,25,LAC,Greg Minor\minorgr01,22.290,G-F,us,University of Louisville,1995,1999,277,18.6,6.9,2.7,1.4,0.6,0.2,.478,.495,.226,.767,8.2,.077
529,1995,NBA,1,25,ORL,David Vaughn\vaughda02,22.102,F,us,University of Memphis,1996,1999,118,9.8,2.9,3.1,0.3,0.3,0.4,.423,.425,.000,.638,0.6,.026
530,1997,NBA,1,25,NYK,John Thomas\thomajo02,21.296,F,us,University of Minnesota,1998,2006,208,10.8,2.7,2.1,0.3,0.3,0.2,.502,.505,.000,.591,3.2,.067
531,1999,NBA,1,25,MIA,Tim James\jamesti01,22.191,F,us,University of Miami,2000,2002,43,6.1,1.6,1.1,0.3,0.0,0.2,.329,.329,.333,.652,0.0,-0.003
532,2001,NBA,1,25,SAC,Gerald Wallace\wallage01,18.344,F,us,University of Alabama,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,.469,.502,.312,.709,59.7,.116
533,2002,NBA,1,25,DEN,Frank Williams\willifr02,22.127,G,us,University of Illinois at Urbana-Champaign,2003,2005,86,11.1,2.9,0.9,1.9,0.4,0.1,.352,.376,.300,.833,0.1,.003
534,2004,NBA,1,25,BOS,Tony Allen\allento01,22.170,G-F,us,Oklahoma State University,2005,2018,812,22.1,8.2,3.5,1.3,1.4,0.4,.476,.493,.280,.708,38.6,.103
535,2006,NBA,1,25,CLE,Shannon Brown\brownsh01,20.216,G,us,Michigan State University,2007,2015,408,18.0,7.6,1.9,1.1,0.7,0.2,.420,.456,.332,.807,9.2,.060
536,2007,NBA,1,25,UTA,Morris Almond\almonmo01,22.151,G,us,Rice University,2008,2012,38,9.5,3.1,1.2,0.3,0.3,0.1,.381,.404,.292,.743,0.0,.005
537,2010,NBA,1,25,MEM,Dominique Jones\jonesdo02,21.257,G,us,University of South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,.366,.393,.095,.729,0.3,.017
538,2011,NBA,1,25,BOS,MarShon Brooks\brookma01,22.153,G-F,us,Providence College,2012,2014,164,17.5,7.7,2.2,1.4,0.6,0.2,.442,.472,.326,.748,2.5,.041
539,2012,NBA,1,25,MEM,Tony Wroten\wroteto01,19.081,G,us,University of Washington,2013,2016,145,21.2,11.1,2.5,3.0,0.9,0.2,.413,.477,.231,.647,-1.3,-0.021
540,2013,NBA,1,25,LAC,Reggie Bullock\bullore01,22.109,G-F,us,University of North Carolina,2014,2018,157,11.4,3.0,1.6,0.6,0.4,0.1,.388,.454,.342,.773,2.6,.070
541,2015,NBA,1,25,MEM,Jarell Martin\martija01,21.037,F,us,Louisiana State University,2016,2018,85,14.5,4.6,3.6,0.4,0.4,0.4,.409,.431,.280,.754,1.6,.061
542,2016,NBA,1,25,LAC,Brice Johnson\johnsbr02,22.002,F,us,University of North Carolina,2017,2018,8,3.6,2.0,1.4,0.3,0.4,0.1,.500,.500,,1.000,0.1,.104
543,1992,NBA,1,26,POR,Dave Johnson\johnsda01,21.226,G-F,us,Syracuse University,1993,1994,59,8.1,3.5,1.1,0.3,0.2,0.0,.365,.378,.200,.663,-0.3,-0.032
544,1993,NBA,1,26,ORL,Geert Hammink\hammige01,23.359,C,nl,Louisiana State University,1994,1996,8,3.4,1.8,0.9,0.3,0.0,0.0,.400,.400,,.667,0.1,.089
545,1994,NBA,1,26,NYK,Charlie Ward\wardch01,23.266,G,us,Florida State University,1995,2005,630,22.3,6.3,2.6,4.0,1.2,0.2,.408,.455,.364,.771,33.0,.113
546,1995,NBA,1,26,SEA,Sherell Ford\fordsh01,22.311,F,us,University of Illinois at Chicago,1996,1996,28,5.0,3.2,0.9,0.2,0.3,0.0,.375,.473,.160,.765,0.4,.124
547,1996,NBA,1,26,DET,Jerome Williams\willije01,23.053,F,us,Georgetown University,1997,2005,587,21.7,6.6,6.4,0.8,1.1,0.2,.502,.506,.038,.645,37.9,.143
548,1997,NBA,1,26,MIA,Charles Smith\smithch04,21.313,G,us,University of New Mexico,1998,2006,142,13.9,5.1,1.4,0.9,0.6,0.5,.409,.473,.288,.606,1.5,.036
549,1998,NBA,1,26,LAL,Sam Jacobson\jacobsa01,22.343,G-F,us,University of Minnesota,1999,2001,68,11.1,4.2,1.2,0.5,0.5,0.0,.511,.529,.360,.739,1.1,.071
550,1999,NBA,1,26,IND,Vonteego Cummings\cummivo01,23.127,G,us,University of Pittsburgh,2000,2002,199,19.0,6.9,1.9,2.7,0.9,0.2,.383,.404,.321,.726,2.2,.028
551,2000,NBA,1,26,DEN,Mamadou N'Diaye\ndiayma02,25.019,C,sn,Auburn University,2001,2005,69,12.4,3.8,3.3,0.1,0.2,0.9,.427,.429,.000,.736,1.8,.101
552,2001,NBA,1,26,PHI,Samuel Dalembert\dalemsa01,20.053,C,ht,Seton Hall University,2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,.521,.522,.083,.706,51.3,.114
553,2002,NBA,1,26,SAS,John Salmons\salmojo01,22.202,G,us,University of Miami,2003,2015,895,26.4,9.3,2.9,2.4,0.8,0.3,.431,.457,.366,.799,33.9,.069
554,2004,NBA,1,26,SAC,Kevin Martin\martike02,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,.437,.464,.384,.870,61.3,.137
555,2005,NBA,1,26,DET,Jason Maxiell\maxieja01,22.136,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,.495,.496,.000,.564,20.3,.086
556,2006,NBA,1,26,LAL,Jordan Farmar\farmajo01,19.215,G,us,University of California Los Angeles,2007,2017,504,19.5,7.7,1.9,2.9,0.8,0.1,.423,.463,.374,.739,13.9,.068
557,2007,NBA,1,26,HOU,Aaron Brooks\brookaa01,22.170,G,us,University of Oregon,2008,2018,620,21.4,10.0,1.7,3.1,0.6,0.1,.413,.442,.370,.838,19.2,.070
558,2008,NBA,1,26,SAS,George Hill\hillge01,22.059,G,us,Indiana University-Purdue University Indianapolis,2009,2018,615,28.9,11.7,3.2,3.3,0.9,0.3,.452,.492,.381,.801,54.2,.146
